"DEPTH_BUCKET","events","median_uplift","pct_profitable","portfolio_roi"
"0-5%",4955,0.538461538461538,0.768516649848638,4.52103939571471
"5-15%",30657,0.333333333333333,0.347718302508399,-0.05293435639472
"15-25%",52218,0.615384615384615,0.182063656210502,-0.253479597124383
"25-35%",13552,1.5,0.0152007083825266,-0.285332742525829
