"CATEGORY","events","median_uplift","pct_profitable","portfolio_roi"
"FROZEN PIZZA",22012,1.125,0.330410685080865,-0.0984420296191641
"COLD CEREAL",29976,0.555555555555556,0.237556712036296,-0.192719192777292
"ORAL HYGIENE PRODUCTS",21588,0.5,0.184269038354641,-0.320592134026438
"BAG SNACKS",27806,0.339285714285714,0.208911745666403,-0.409452578598127
