"CATEGORY","tier","n_products","n_significant","n_sig_more_elastic","n_sig_less_elastic","median_interaction"
"BAG SNACKS","UPSCALE",15,8,0,8,0.272040086099461
"BAG SNACKS","VALUE",15,7,6,1,-0.165178543325377
"COLD CEREAL","UPSCALE",15,14,0,14,0.493067778103338
"COLD CEREAL","VALUE",15,7,3,4,-0.043405043206776
"FROZEN PIZZA","UPSCALE",12,8,1,7,0.270042216415799
"FROZEN PIZZA","VALUE",12,9,1,8,0.335455842866914
"ORAL HYGIENE PRODUCTS","UPSCALE",13,4,2,2,-0.0182111534974783
"ORAL HYGIENE PRODUCTS","VALUE",13,4,1,3,0.122856129565777
