"MECHANIC","roi_at_margin_0.25","roi_at_margin_0.3","roi_at_margin_0.35"
"Display only",-0.156214803740861,-0.045570400278439,0.028038871401397
"Feature + Display",0.0341303595145992,0.0707383018555282,0.0946219176993198
"Feature only",-0.152882581485778,-0.0768162088142846,-0.0129339866478077
"TPR only (price cut, no support)",-0.675765586502656,-0.609901068729147,-0.546162041598308
