"MECHANIC","events","avg_discount","median_uplift","median_breakeven","pct_profitable","total_incr_profit","total_investment","portfolio_roi"
"Feature + Display",14133,0.192554010530481,2.20689655172414,2.30174081237911,0.465010967239793,38677.3125000001,546766.2,0.0707383018555282
"Display only",17095,0.148364577248596,0.875,1.2039312039312,0.404504241006142,-11481.3425,251947.37,-0.045570400278439
"Feature only",13279,0.179947458214104,1,1.74672489082969,0.313427215904812,-21088.933,274537.54,-0.0768162088142846
"TPR only (price cut, no support)",56875,0.175809516737233,0.25,1.25944584382871,0.114848351648352,-331421.149499996,543401.489999976,-0.609901068729147
